CustomerKey,FirstName,LastName,BirthDate,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned
11000,Jon,Yang,1966-04-08,M,M,90000,2,0,Bachelors,Professional,1,0
11001,Eugene,Huang,1965-05-14,S,M,60000,3,3,Bachelors,Professional,0,1
11002,Ruben,Torres,1965-08-12,M,M,60000,3,3,Bachelors,Professional,1,1
11003,Christy,Zhu,1968-02-15,S,F,70000,0,0,Bachelors,Professional,0,1
11004,Elizabeth,Johnson,1968-08-08,S,F,80000,5,5,Bachelors,Professional,1,4
11005,Julio,Ruiz,1965-08-05,S,M,70000,0,0,Bachelors,Professional,1,1
11006,Janet,Alvarez,1965-12-06,S,F,70000,0,0,Bachelors,Professional,1,1
11007,Marco,Mehta,1964-05-09,M,M,60000,3,3,Bachelors,Professional,1,2
11008,Rob,Verhoff,1964-07-07,S,F,60000,4,4,Bachelors,Professional,1,3
11009,Shannon,Carlson,1964-04-01,S,M,70000,0,0,Bachelors,Professional,0,1
11010,Jacquelyn,Suarez,1964-02-06,S,F,70000,0,0,Bachelors,Professional,0,1
11011,Curtis,Lu,1963-11-04,M,M,60000,4,4,Bachelors,Professional,1,4
11012,Lauren,Walker,1968-01-18,M,F,100000,2,0,Bachelors,Management,1,2
11013,Ian,Jenkins,1968-08-06,M,M,100000,2,0,Bachelors,Management,1,3
11014,Sydney,Bennett,1968-05-09,S,F,100000,3,0,Bachelors,Management,0,3
11015,Chloe,Young,1979-02-27,S,F,30000,0,0,Partial College,Skilled Manual,0,1
11016,Wyatt,Hill,1979-04-28,M,M,30000,0,0,Partial College,Skilled Manual,1,1
11017,Shannon,Wang,1944-06-26,S,F,20000,4,0,High School,Skilled Manual,1,2
11018,Clarence,Rai,1944-10-09,S,M,30000,2,0,Partial College,Clerical,1,2
11019,Luke,Lal,1978-03-07,S,M,40000,0,0,High School,Skilled Manual,0,2
11020,Jordan,King,1978-09-20,S,M,40000,0,0,High School,Skilled Manual,0,2
11021,Destiny,Wilson,1978-09-03,S,F,40000,0,0,Partial College,Skilled Manual,0,1
11022,Ethan,Zhang,1978-10-12,M,M,40000,0,0,Partial College,Skilled Manual,1,1
11023,Seth,Edwards,1978-10-11,M,M,40000,0,0,Partial College,Skilled Manual,1,1
11024,Russell,Xie,1978-09-17,M,M,60000,0,0,Partial College,Skilled Manual,1,2
11025,Alejandro,Beck,1945-12-23,M,M,10000,2,1,Partial High School,Clerical,1,2
11026,Harold,Sai,1946-04-03,S,M,30000,2,0,Partial College,Clerical,0,2
11027,Jessie,Zhao,1946-12-07,M,M,30000,2,0,Partial College,Clerical,1,2
11028,Jill,Jimenez,1946-04-11,M,F,30000,2,0,Partial College,Clerical,1,2
11029,Jimmy,Moreno,1946-12-21,M,M,30000,2,0,Partial College,Clerical,1,2
11030,Bethany,Yuan,1947-02-22,M,F,10000,2,1,Partial High School,Clerical,1,2
11031,Theresa,Ramos,1947-08-22,M,F,20000,4,0,High School,Skilled Manual,1,2
11032,Denise,Stone,1947-06-11,M,F,20000,4,0,High School,Skilled Manual,1,2
11033,Jaime,Nath,1947-09-23,M,M,20000,4,0,High School,Skilled Manual,1,2
11034,Ebony,Gonzalez,1947-06-19,M,F,20000,4,0,High School,Skilled Manual,1,2
11035,Wendy,Dominguez,1948-02-24,M,F,10000,2,1,Partial High School,Clerical,1,2
11036,Jennifer,Russell,1978-12-18,M,F,60000,0,0,Partial College,Skilled Manual,1,2
11037,Chloe,Garcia,1977-11-27,S,F,40000,0,0,Partial High School,Clerical,0,2
11038,Diana,Hernandez,1948-03-23,M,F,10000,2,1,Partial High School,Clerical,1,2
11039,Marc,Martin,1948-12-17,M,M,30000,3,0,Partial College,Clerical,1,2
11040,Jesse,Murphy,1977-08-01,M,M,30000,0,0,Partial College,Skilled Manual,1,2
11041,Amanda,Carter,1977-10-16,M,F,60000,0,0,Partial College,Skilled Manual,1,2
11042,Megan,Sanchez,1977-06-13,M,F,70000,0,0,Partial College,Skilled Manual,1,2
11043,Nathan,Simmons,1976-02-24,M,M,60000,0,0,Partial College,Skilled Manual,1,2
11044,Adam,Flores,1949-05-24,M,M,20000,2,1,Partial High School,Clerical,1,2
11045,Leonard,Nara,1950-05-19,S,M,30000,3,0,High School,Skilled Manual,0,2
11046,Christine,Yuan,1950-03-22,M,F,30000,3,0,High School,Skilled Manual,1,2
11047,Jaclyn,Lu,1950-02-27,M,F,30000,3,0,High School,Skilled Manual,0,2
11048,Jeremy,Powell,1950-11-22,M,M,30000,3,0,High School,Skilled Manual,1,2
11049,Carol,Rai,1980-07-18,S,F,40000,0,0,Partial High School,Clerical,1,2
11050,Alan,Zheng,1951-09-07,M,M,30000,3,0,High School,Skilled Manual,1,2
11051,Daniel,Johnson,1951-08-04,S,M,30000,3,0,High School,Skilled Manual,0,2
11052,Heidi,Lopez,1951-08-07,S,F,40000,2,0,Partial College,Clerical,0,2
11053,Ana,Price,1980-08-20,M,F,60000,0,0,Partial College,Skilled Manual,0,2
11054,Deanna,Munoz,1952-03-10,M,F,40000,2,0,Partial College,Skilled Manual,1,2
11055,Gilbert,Raje,1952-03-05,M,M,40000,2,0,Partial College,Skilled Manual,1,2
11056,Michele,Nath,1953-04-03,M,F,40000,3,0,Partial College,Skilled Manual,1,2
11057,Carl,Andersen,1953-10-12,M,M,70000,2,0,Graduate Degree,Management,1,2
11058,Marc,Diaz,1954-04-27,M,M,80000,2,0,Partial College,Skilled Manual,1,2
11059,Ashlee,Andersen,1954-04-01,S,F,80000,2,0,Partial College,Skilled Manual,1,2
11060,Jon,Zhou,1954-03-17,M,M,80000,2,0,Partial College,Skilled Manual,1,2
11061,Todd,Gao,1954-02-27,M,M,80000,2,0,Partial College,Skilled Manual,1,2
11062,Noah,Powell,1975-09-02,M,M,40000,0,0,High School,Skilled Manual,1,2
11063,Angela,Murphy,1975-04-07,S,F,40000,0,0,High School,Skilled Manual,1,2
11064,Chase,Reed,1975-12-07,M,M,40000,0,0,High School,Skilled Manual,1,2
11065,Jessica,Henderson,1973-10-09,M,F,60000,0,0,Partial College,Skilled Manual,0,2
11066,Grace,Butler,1973-11-27,M,F,70000,0,0,Partial College,Professional,1,2
11067,Caleb,Carter,1976-09-25,S,M,60000,0,0,Partial College,Professional,1,2
11068,Tiffany,Liang,1955-09-23,S,F,80000,2,0,High School,Skilled Manual,1,2
11069,Carolyn,Navarro,1955-09-21,S,F,80000,2,0,High School,Skilled Manual,0,2
11070,Willie,Raji,1955-04-05,M,M,80000,2,0,High School,Skilled Manual,1,2
11071,Linda,Serrano,1955-06-26,S,F,80000,2,0,High School,Skilled Manual,1,2
11072,Casey,Luo,1955-02-06,S,F,80000,2,0,High School,Skilled Manual,0,2
11073,Amy,Ye,1956-08-14,S,F,70000,2,0,High School,Skilled Manual,1,2
11074,Levi,Arun,1956-08-28,S,M,70000,2,0,High School,Skilled Manual,1,2
11075,Felicia,Jimenez,1957-11-16,S,F,80000,2,0,High School,Professional,1,2
11076,Blake,Anderson,1957-07-13,S,M,80000,2,0,High School,Professional,1,2
11077,Leah,Ye,1957-09-19,S,F,80000,2,0,High School,Professional,0,2
11078,Gina,Martin,1974-01-10,S,F,40000,0,0,High School,Professional,0,2
11079,Donald,Gonzalez,1959-03-11,S,M,160000,0,0,Graduate Degree,Management,1,2
11080,Damien,Chander,1959-07-17,M,M,170000,0,0,Graduate Degree,Management,1,2
11081,Savannah,Baker,1966-07-24,M,F,120000,2,2,Bachelors,Management,1,3
11082,Angela,Butler,1966-08-04,S,F,130000,0,1,Graduate Degree,Management,0,3
11083,Alyssa,Cox,1966-03-15,M,F,130000,0,1,Graduate Degree,Management,1,3
11084,Lucas,Phillips,1957-09-12,S,M,80000,2,0,Partial High School,Skilled Manual,0,2
11085,Emily,Johnson,1957-07-19,S,F,60000,2,0,High School,Professional,0,2
11086,Ryan,Brown,1957-12-23,M,M,70000,2,1,Partial College,Professional,1,0
11087,Tamara,Liang,1957-10-03,M,F,70000,3,2,Partial College,Professional,0,0
11088,Hunter,Davis,1957-11-25,M,M,80000,2,1,Bachelors,Management,1,0
11089,Abigail,Price,1957-02-05,S,F,80000,2,1,Bachelors,Management,1,1
11090,Trevor,Bryant,1957-12-17,S,M,90000,2,0,Partial College,Professional,1,1
11091,Dalton,Perez,1957-04-04,M,M,90000,2,0,Partial College,Professional,1,1
11092,Cheryl,Diaz,1967-05-06,M,F,90000,2,2,Bachelors,Professional,1,0
11093,Aimee,He,1967-09-10,M,F,100000,0,0,Graduate Degree,Management,1,0
11094,Cedric,Ma,1962-04-01,S,M,70000,1,0,Partial College,Skilled Manual,0,1
11095,Chad,Kumar,1962-09-01,S,M,70000,1,0,Partial College,Skilled Manual,1,1
11096,Andres,Anand,1962-08-10,M,M,60000,1,0,Bachelors,Professional,1,1
11097,Edwin,Nara,1961-10-27,M,M,60000,1,0,Partial College,Skilled Manual,1,1
11098,Mallory,Rubio,1961-05-01,S,F,60000,1,0,Partial College,Skilled Manual,0,1
11099,Adam,Ross,1961-03-08,M,M,60000,1,0,Bachelors,Professional,1,1
11100,Latasha,Navarro,1960-09-15,S,F,60000,1,0,Partial College,Skilled Manual,1,1
11101,Abby,Sai,1965-05-08,S,F,70000,0,0,Bachelors,Professional,0,1
11102,Julia,Nelson,1965-04-21,S,F,80000,5,5,Bachelors,Professional,1,4
11103,Cassie,Chande,1964-10-17,S,F,70000,0,0,Bachelors,Professional,1,1
11104,Edgar,Sara,1964-03-11,M,M,70000,0,0,Bachelors,Professional,0,1
11105,Candace,Fernandez,1964-12-28,S,F,70000,0,0,Bachelors,Professional,0,1
11106,Jessie,Liu,1964-09-11,S,M,70000,0,0,Bachelors,Professional,0,1
11107,Bianca,Lin,1959-09-09,M,F,90000,1,0,Bachelors,Professional,1,1
11108,Kari,Alvarez,1963-07-14,S,F,70000,0,0,Bachelors,Professional,0,2
11109,Ruben,Kapoor,1963-11-05,S,M,70000,0,0,Bachelors,Professional,0,2
11110,Curtis,Yang,1962-06-06,M,M,60000,1,0,Partial College,Skilled Manual,1,1
11111,Meredith,Gutierrez,1962-02-23,M,F,60000,1,0,Partial College,Skilled Manual,1,1
11112,Crystal,Wang,1962-09-09,M,F,60000,1,0,Partial College,Skilled Manual,1,1
11113,Micheal,Blanco,1962-02-21,M,M,70000,5,4,Bachelors,Professional,1,2
11114,Leslie,Moreno,1962-05-28,S,F,70000,5,4,Partial College,Skilled Manual,1,2
11115,Alvin,Cai,1962-02-12,M,M,70000,5,4,Partial College,Skilled Manual,1,2
11116,Clinton,Carlson,1962-10-07,M,M,70000,5,4,Partial College,Skilled Manual,1,2
11117,April,Deng,1961-02-21,M,F,70000,5,4,Partial College,Skilled Manual,1,3
11118,Alvin,Zeng,1957-07-03,S,M,80000,1,0,Partial College,Skilled Manual,0,1
11119,Evan,James,1935-04-10,S,M,30000,2,0,Partial College,Clerical,0,2
11120,Beth,Jimenez,1936-08-09,S,F,40000,2,0,Bachelors,Management,1,1
11121,Orlando,Suarez,1960-11-18,M,M,70000,5,4,Partial College,Skilled Manual,1,3
11122,Byron,Vazquez,1960-04-02,M,M,70000,5,4,Partial College,Skilled Manual,1,3
11123,Philip,Alvarez,1960-06-20,M,M,70000,5,4,Partial College,Skilled Manual,1,3
11124,Ross,Jordan,1957-07-27,S,M,80000,1,0,Partial College,Skilled Manual,1,1
11125,Dana,Navarro,1956-04-08,S,F,70000,1,0,Partial College,Skilled Manual,1,1
11126,Shaun,Carson,1949-04-07,M,M,10000,2,1,High School,Skilled Manual,0,2
11127,Jan,Edwards,1975-10-21,M,F,40000,0,0,High School,Skilled Manual,1,1
11128,Samantha,Long,1975-12-05,M,F,40000,0,0,High School,Skilled Manual,1,1
11129,Julia,Wright,1975-08-05,S,F,40000,0,0,High School,Skilled Manual,1,1
11130,Caroline,Russell,1980-01-06,M,F,30000,0,0,High School,Skilled Manual,1,2
11131,Amanda,Rivera,1980-03-12,M,F,30000,0,0,High School,Skilled Manual,0,2
11132,Melissa,Richardson,1980-10-26,S,F,30000,0,0,High School,Skilled Manual,0,2
11133,Angela,Griffin,1980-09-08,S,F,30000,0,0,Partial High School,Clerical,0,2
11134,Larry,Townsend,1946-02-26,S,M,10000,5,0,High School,Skilled Manual,1,2
11135,Marcus,Harris,1979-11-03,S,M,30000,0,0,Partial High School,Clerical,0,2
11136,Brianna,Morgan,1978-10-26,S,F,40000,0,0,High School,Skilled Manual,0,2
11137,Jasmine,Taylor,1978-07-20,M,F,40000,0,0,High School,Skilled Manual,1,2
11138,Lauren,Davis,1978-09-15,M,F,40000,0,0,High School,Skilled Manual,0,2
11139,Tanya,Moreno,1938-11-09,S,F,30000,2,0,Partial College,Clerical,0,2
11140,Javier,Alvarez,1977-02-11,S,M,30000,0,0,Partial High School,Clerical,0,2
11141,Nicole,Ramirez,1977-06-21,M,F,40000,0,0,High School,Skilled Manual,0,2
11142,Eduardo,Patterson,1977-08-14,S,M,40000,0,0,High School,Skilled Manual,0,2
11143,Jonathan,Henderson,1977-02-04,M,M,40000,0,0,High School,Skilled Manual,1,2
11144,Edward,Hernandez,1979-09-09,S,M,40000,0,0,High School,Skilled Manual,0,2
11145,Jasmine,Coleman,1979-12-08,S,F,40000,0,0,High School,Skilled Manual,0,2
11146,Karla,Goel,1939-08-26,S,F,40000,2,0,Bachelors,Management,1,2
11147,Ernest,Wu,1939-02-05,M,M,60000,2,0,Graduate Degree,Management,1,1
11148,Ross,Vazquez,1941-08-16,M,M,40000,2,0,Bachelors,Management,1,2
11149,Theodore,Gill,1941-04-20,M,M,40000,2,0,Bachelors,Management,1,2
11150,Russell,Shen,1941-03-15,S,M,40000,2,0,Bachelors,Management,1,2
11151,Melinda,Gill,1942-02-25,S,F,60000,2,0,Graduate Degree,Management,0,1
11152,James,Williams,1976-01-10,S,M,40000,0,0,High School,Skilled Manual,1,2
11153,Angela,James,1976-06-23,M,F,40000,0,0,High School,Skilled Manual,1,2
11154,Megan,Walker,1976-08-21,S,F,40000,0,0,Partial College,Skilled Manual,1,1
11155,Hunter,Robinson,1976-01-26,S,M,40000,0,0,Partial College,Skilled Manual,0,1
11156,Maria,Roberts,1976-02-07,S,F,40000,0,0,Partial College,Skilled Manual,0,1
11157,Hannah,Long,1975-06-11,M,F,40000,0,0,High School,Skilled Manual,1,2
11158,Jason,Wright,1975-10-08,S,M,40000,0,0,High School,Skilled Manual,1,2
11159,Brianna,Hughes,1975-09-17,S,F,40000,0,0,High School,Skilled Manual,0,2
11160,Maurice,Tang,1974-01-08,S,M,40000,0,0,Partial College,Skilled Manual,0,1
11161,Emily,Wood,1974-04-22,S,F,40000,0,0,Partial College,Skilled Manual,0,1
11162,Chase,Cox,1974-03-05,S,M,40000,0,0,Partial College,Skilled Manual,1,1
11163,Gabriel,Wang,1974-12-20,M,M,40000,0,0,Partial College,Skilled Manual,1,1
11164,Devin,Brooks,1974-05-05,S,M,40000,0,0,Partial College,Skilled Manual,0,1
11165,Jocelyn,Alexander,1973-07-18,M,F,60000,0,0,Partial College,Skilled Manual,0,1
